sep=,
Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Closed position,985783552,USTEC,8,Buy,23413.4,23413.1,2025/09/03 17:07:58,2025/09/03 18:23:19,2025/09/03,2025/09/03,-2.4,0,0,-2.4,0,21071.58,-0.3,Loss,1.26,9,,deusfund-sqx1
Closed position,982793839,USDJPY,1,Buy,147.297,147.925,2025/09/02 03:11:14,2025/09/03 19:21:25,2025/09/02,2025/09/03,424.54,6.14,-7,423.68,149.943,147.077,62.8,Win,40.17,202501018,,deusfund-sqx2
Closed position,983243333,USDJPY,1,Buy,148.154,147.925,2025/09/02 10:12:11,2025/09/03 19:21:25,2025/09/02,2025/09/03,-154.81,6.14,-7,-155.67,150.66,147.847,-22.9,Loss,33.15,202501016,,deusfund-sqx2
Closed position,985869190,USTEC,5,Buy,23476.4,23355.2,2025/09/03 17:48:20,2025/09/03 19:40:33,2025/09/03,2025/09/03,-606,0,0,-606,23592.2,23357.46,-121.2,Loss,1.87,1,,deusfund-sqx1
Closed position,985870128,USTEC,8,Buy,23479.4,23305.2,2025/09/03 17:49:08,2025/09/03 20:45:43,2025/09/03,2025/09/03,-1393.6,0,0,-1393.6,0,23304.23,-174.2,Loss,2.94,202501007,,deusfund-sqx2
Closed position,985993581,USTEC,8,Buy,23414.9,23355.8,2025/09/03 19:21:14,2025/09/03 22:45:00,2025/09/03,2025/09/03,-472.8,0,0,-472.8,0,21072.93,-59.1,Loss,3.4,9,,deusfund-sqx1
Closed position,987714649,USTEC,16,Buy,23559.9,23595.1,2025/09/04 20:53:56,2025/09/04 22:45:00,2025/09/04,2025/09/04,563.2,0,0,563.2,24971.24,23086.61,35.2,Win,1.85,202501010,,deusfund-sqx2
Closed position,987766302,USTEC,8,Buy,23585.3,23595.1,2025/09/04 22:12:07,2025/09/04 22:45:00,2025/09/04,2025/09/04,78.4,0,0,78.4,0,22877.61,9.8,Win,0.55,202501011,,deusfund-sqx2
Closed position,987713054,USTEC,5,Buy,23549.5,23667.9,2025/09/04 20:51:43,2025/09/05 01:01:51,2025/09/04,2025/09/05,592,-29.63,0,562.37,23667.62,23432.12,118.4,Win,4.17,1,,deusfund-sqx1
Closed position,987790242,USTEC,8,Buy,23618,23735,2025/09/04 22:55:06,2025/09/05 15:00:00,2025/09/04,2025/09/05,936,-47.41,0,888.59,23971.56,23547.58,117,Win,16.08,202501005,,deusfund-sqx2
Closed position,987664135,USTEC,8,Buy,23520.5,23707.5,2025/09/04 19:50:45,2025/09/05 15:30:10,2025/09/04,2025/09/05,1496,-47.41,0,1448.59,0,23401.63,187.0,Win,19.66,202501007,,deusfund-sqx2
Closed position,988321227,GBPJPY,1,Buy,199.739,199.066,2025/09/05 12:56:12,2025/09/05 15:30:31,2025/09/05,2025/09/05,-456.88,0,-7,-463.88,205.13,198.937,-67.3,Loss,2.57,202501003,,deusfund-sqx2
Closed position,988506381,XAUUSD,1,Buy,3578.52,3580.92,2025/09/05 15:32:35,2025/09/05 16:00:00,2025/09/05,2025/09/05,240,0,-7,233,0,3561.95,24.0,Win,0.46,1007,,deusfund-sqx1
Closed position,987789609,USTEC,5,Buy,23610.9,23836.1,2025/09/04 22:54:40,2025/09/05 16:00:01,2025/09/04,2025/09/05,1126,-29.63,0,1096.37,23965.21,23540.21,225.2,Win,17.09,2,,deusfund-sqx1
Closed position,988494311,XAUUSD,1,Buy,3574.25,3574.26,2025/09/05 15:31:00,2025/09/05 16:06:36,2025/09/05,2025/09/05,1,0,-7,-6,0,3561.39,0.1,Loss,0.59,202501026,,deusfund-sqx2
Closed position,988506363,XAUUSD,1,Buy,3578.52,3594.25,2025/09/05 15:32:35,2025/09/05 17:00:00,2025/09/05,2025/09/05,1573,0,-7,1566,3707.34,3565.19,157.3,Win,1.46,202501024,,deusfund-sqx2
Closed position,988571596,USTEC,8,Buy,23817.7,23780.6,2025/09/05 15:51:38,2025/09/05 17:00:27,2025/09/05,2025/09/05,-296.8,0,0,-296.8,24175.27,23782.04,-37.1,Loss,1.15,202501005,,deusfund-sqx2
Closed position,988494315,XAUUSD,0.4,Buy,3574.25,3597.82,2025/09/05 15:31:00,2025/09/05 17:06:17,2025/09/05,2025/09/05,942.8,0,-2.8,940.0,3597.96,3566.41,235.7,Win,1.59,6,,deusfund-sqx1
Closed position,988170404,BTCUSD,0.8,Buy,112312.38,111695.38,2025/09/05 10:05:43,2025/09/05 17:18:15,2025/09/05,2025/09/05,-493.6,0,0,-493.6,0,111667.76,-617.0,Loss,7.21,1001,,deusfund-sqx1
Closed position,988509398,XAUUSD,1,Buy,3580.75,3574.22,2025/09/05 15:33:08,2025/09/05 17:39:31,2025/09/05,2025/09/05,-653,0,-7,-660,0,3567.2,-65.3,Loss,2.11,202501022,,deusfund-sqx2
Closed position,988321226,GBPJPY,1,Buy,199.739,198.709,2025/09/05 12:56:12,2025/09/05 17:45:24,2025/09/05,2025/09/05,-700.38,0,-7,-707.38,203.687,198.587,-103.0,Loss,4.82,202501002,,deusfund-sqx2
Closed position,989140130,USTEC,8,Buy,23637.5,23626.8,2025/09/05 22:06:16,2025/09/05 22:45:00,2025/09/05,2025/09/05,-85.6,0,0,-85.6,0,21274.89,-10.7,Loss,0.65,9,,deusfund-sqx1
