sep=,
Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Closed position,973622358,XAUUSD,1,Buy,3352.38,3364.47,2025/08/22 17:02:42,2025/08/25 06:00:00,2025/08/22,2025/08/25,1209,-52.78,-7,1149.22,3472.96,3343.54,120.9,Win,60.96,202501024,,deusfund-sqx2
Closed position,973609945,USTEC,8,Buy,23427.1,23452.2,2025/08/22 17:01:20,2025/08/25 10:00:00,2025/08/22,2025/08/25,200.8,-138.94,0,61.86,23775.77,23354.77,25.1,Win,64.98,202501005,,deusfund-sqx2
Closed position,973622599,XAUUSD,1,Buy,3352.78,3362.52,2025/08/22 17:02:43,2025/08/25 16:07:31,2025/08/22,2025/08/25,974,-52.78,-7,914.22,0,3345.15,97.4,Win,71.08,202501022,,deusfund-sqx2
Closed position,973622274,XAUUSD,1,Buy,3352.38,3370.95,2025/08/22 17:02:42,2025/08/25 17:00:00,2025/08/22,2025/08/25,1857,-52.78,-7,1797.22,3472.96,3343.14,185.7,Win,71.96,1006,,deusfund-sqx1
Closed position,973622308,XAUUSD,1,Buy,3352.38,3373.89,2025/08/22 17:02:42,2025/08/25 20:00:01,2025/08/22,2025/08/25,2151,-52.78,-7,2091.22,3472.96,3343.14,215.1,Win,74.96,202501023,,deusfund-sqx2
Closed position,975795527,USDJPY,1,Buy,147.825,147.467,2025/08/26 02:29:48,2025/08/26 03:03:52,2025/08/26,2025/08/26,-242.77,0,-7,-249.77,149.894,147.507,-35.8,Loss,0.57,202501013,,deusfund-sqx2
Closed position,975795525,USDJPY,1,Buy,147.825,147.467,2025/08/26 02:29:48,2025/08/26 03:03:52,2025/08/26,2025/08/26,-242.77,0,-7,-249.77,150.485,147.507,-35.8,Loss,0.57,202501018,,deusfund-sqx2
Closed position,975795526,USDJPY,1,Buy,147.825,147.084,2025/08/26 02:29:48,2025/08/26 03:35:22,2025/08/26,2025/08/26,-503.79,0,-7,-510.79,150.189,147.085,-74.1,Loss,1.09,202501015,,deusfund-sqx2
Closed position,975909922,XAUUSD,1,Buy,3378.88,3382.65,2025/08/26 03:23:00,2025/08/26 04:00:00,2025/08/26,2025/08/26,377,0,-7,370,0,3369.04,37.7,Win,0.62,202501021,,deusfund-sqx2
Closed position,975909966,XAUUSD,1,Buy,3378.88,3383.31,2025/08/26 03:23:00,2025/08/26 04:00:00,2025/08/26,2025/08/26,443,0,-7,436,3500.44,3370.19,44.3,Win,0.62,202501023,,deusfund-sqx2
Closed position,975909977,XAUUSD,1,Buy,3378.88,3383.31,2025/08/26 03:23:00,2025/08/26 04:00:00,2025/08/26,2025/08/26,443,0,-7,436,3500.44,3370.19,44.3,Win,0.62,1006,,deusfund-sqx1
Closed position,975909965,XAUUSD,1,Buy,3378.88,3375.44,2025/08/26 03:23:00,2025/08/26 06:00:00,2025/08/26,2025/08/26,-344,0,-7,-351,0,3370,-34.4,Loss,2.62,1007,,deusfund-sqx1
Closed position,816345038,USTEC,8,Buy,18155.3,23382.9,2025/04/22 17:04:54,2025/08/26 06:00:01,2025/04/22,2025/08/26,41820.8,-5635.34,0,36185.46,0,18055.06,5227.6,Win,3012.92,202501007,,deusfund-sqx2
Closed position,975910764,XAUUSD,1,Buy,3379.58,3371.78,2025/08/26 03:23:03,2025/08/26 06:05:58,2025/08/26,2025/08/26,-780,0,-7,-787,0,3371.83,-78.0,Loss,2.72,202501022,,deusfund-sqx2
Closed position,975909865,XAUUSD,1,Buy,3378.88,3369.67,2025/08/26 03:23:00,2025/08/26 10:18:29,2025/08/26,2025/08/26,-921,0,-7,-928,0,3369.57,-92.1,Loss,6.92,202501025,,deusfund-sqx2
Closed position,977361879,XAUUSD,1,Buy,3393.6,3384.01,2025/08/27 03:19:42,2025/08/27 04:39:19,2025/08/27,2025/08/27,-959,0,-7,-966,0,3384.03,-95.9,Loss,1.33,202501025,,deusfund-sqx2
